Sentence_ID,Token,Label
56,ihr,n
56,habt,n
56,gay,n
56,patentiert,n
56,",",n
56,macht,n
56,auf,n
56,fuck,B-B
56,fake,n
56,friends,n
56,.,n
41,deine,n
41,bitch,B-B
41,zu,n
41,ficken,B-B
41,kostet,n
41,mich,n
41,ne,n
41,autofahrt,n
41,.,n
20,nutte,B-B
20,",",n
20,du,n
20,machst,n
20,auf,n
20,kanackenfreestyle,B-B
20,.,n
32,bitches,B-B
32,auf,n
32,dem,n
32,beifahrersitz,n
32,.,n
116,wenn,n
116,ich,n
116,sterbe,n
116,",",n
116,ja,n
116,",",n
116,dann,n
116,hörn,n
116,sie,n
116,meine,n
116,lost,n
116,tapes,n
116,",",n
116,ja,n
116,.,n
57,shit,B-B
57,ich,n
57,bin,n
57,boss,n
57,.,n
70,ich,n
70,lieb,n
70,diesen,n
70,ghetto,n
70,scheiß,B-B
70,born,n
70,to,n
70,be,n
70,wild,n
106,alle,n
106,sind,n
106,auf,n
106,keep,n
106,it,n
106,real,n
106,unterwegs,n
106,keep,n
106,it,n
106,real,n
106,.,n
82,im,n
82,porsche-jeep,n
82,auf,n
82,kokain,n
82,",",n
82,alle,n
82,motherfucker,B-B
82,wollen,n
82,groß,n
82,verdienen,n
82,.,n
27,ich,n
27,guck,n
27,diese,n
27,nutte,B-B
27,an,n
27,",",n
27,du,n
27,bist,n
27,whack,n
27,",",n
27,bitch,B-B
27,.,n
96,ging's,n
96,mir,n
96,um,n
96,fame,n
96,",",n
96,kolleg,n
96,",",n
96,wär,n
96,ich,n
96,jetzt,n
96,bei,n
96,385.,n
28,z,n
28,rappt,n
28,so,n
28,perfekt,n
28,",",n
28,es,n
28,ist,n
28,z,n
28,",",n
28,motherfucker,B-B
28,.,n
65,ja,n
65,",",n
65,ich,n
65,weiß,n
65,",",n
65,dass,n
65,du,n
65,das,n
65,alles,n
65,scheiße,B-B
65,findest,n
65,",",n
65,aber,n
65,es,n
65,bleiben,n
65,bitches,B-B
5,die,n
5,kleine,n
5,bitch,B-B
5,findet,n
5,mich,n
5,geil,n
5,.,n
98,mein,n
98,fünfhunderter,n
98,macht,n
98,lärm,n
98,",",n
98,weil,n
98,ich,n
98,aus,n
98,der,n
98,hood,n
98,komm,n
98,.,n
101,polizeikontrolle,n
101,",",n
101,kickdown,n
101,",",n
101,was,n
101,solls,n
101,.,n
37,ey,n
37,",",n
37,yo,n
37,",",n
37,dieser,n
37,bastard,B-B
37,sieht,n
37,wie,n
37,ein,n
37,homo,B-B
37,aus,n
37,.,n
81,bis,n
81,aus,n
81,euren,n
81,hurensohnköpfen,B-B
81,etwas,n
81,rotes,n
81,rausläuft,n
81,.,n
94,nur,n
94,noch,n
94,cash,n
94,in,n
94,mei'm,n
94,head,n
94,",",n
94,jeder,n
94,song,n
94,ist,n
94,ein,n
94,brett,n
94,.,n
85,nutte,B-B
85,",",n
85,ich,n
85,übernehm,n
85,das,n
85,business,n
85,",",n
85,bro,n
85,",",n
85,mit,n
85,sicken,n
